time,open,high,low,close,tick_volume,spread,real_volume
2026-07-22 19:45:00,1.1408800000000001,1.14092,1.14076,1.14091,478,0,0
2026-07-22 19:50:00,1.14091,1.14095,1.14087,1.14092,374,0,0
2026-07-22 19:55:00,1.14092,1.14102,1.1408800000000001,1.14092,519,0,0
2026-07-22 20:00:00,1.14092,1.14107,1.14087,1.14106,668,0,0
2026-07-22 20:05:00,1.14106,1.14114,1.14102,1.14111,436,0,0
2026-07-22 20:10:00,1.14111,1.14127,1.14111,1.14113,481,0,0
2026-07-22 20:15:00,1.14113,1.14128,1.14107,1.14111,706,0,0
2026-07-22 20:20:00,1.14111,1.14127,1.14107,1.14115,818,0,0
2026-07-22 20:25:00,1.14115,1.14126,1.14111,1.14114,570,0,0
2026-07-22 20:30:00,1.14114,1.14117,1.14097,1.141,490,0,0
2026-07-22 20:35:00,1.141,1.14102,1.14083,1.14089,494,0,0
2026-07-22 20:40:00,1.14091,1.14103,1.1408,1.1409799999999999,585,0,0
2026-07-22 20:45:00,1.1409799999999999,1.14107,1.14093,1.14103,460,0,0
2026-07-22 20:50:00,1.14103,1.14114,1.1409799999999999,1.141,545,0,0
2026-07-22 20:55:00,1.14099,1.14105,1.1408800000000001,1.141,705,0,0
2026-07-22 21:00:00,1.141,1.14108,1.1408800000000001,1.14095,632,0,0
2026-07-22 21:05:00,1.14095,1.1409799999999999,1.14083,1.14084,438,0,0
2026-07-22 21:10:00,1.14084,1.14091,1.1408,1.1408800000000001,323,0,0
2026-07-22 21:15:00,1.1408800000000001,1.14096,1.14083,1.14095,453,0,0
2026-07-22 21:20:00,1.14095,1.14107,1.14089,1.14101,480,0,0
2026-07-22 21:25:00,1.14101,1.14108,1.14097,1.14103,479,0,0
2026-07-22 21:30:00,1.14103,1.14104,1.1409,1.14099,438,0,0
2026-07-22 21:35:00,1.14099,1.14112,1.14094,1.14108,554,0,0
2026-07-22 21:40:00,1.1411,1.14111,1.1409,1.14092,574,0,0
2026-07-22 21:45:00,1.14092,1.14101,1.1409,1.1409799999999999,621,0,0
2026-07-22 21:50:00,1.1409799999999999,1.1411,1.14092,1.14105,508,0,0
2026-07-22 21:55:00,1.14105,1.14113,1.14103,1.1411,529,0,0
2026-07-22 22:00:00,1.1411,1.1412200000000001,1.14103,1.14117,621,0,0
2026-07-22 22:05:00,1.14117,1.1412499999999999,1.14103,1.14103,401,0,0
2026-07-22 22:10:00,1.14103,1.14106,1.14096,1.14097,309,0,0
2026-07-22 22:15:00,1.14097,1.14111,1.14096,1.14111,365,0,0
2026-07-22 22:20:00,1.14111,1.14119,1.14107,1.14113,293,0,0
2026-07-22 22:25:00,1.14113,1.14116,1.14107,1.1411,366,0,0
2026-07-22 22:30:00,1.1411,1.14112,1.14102,1.14107,334,0,0
2026-07-22 22:35:00,1.14107,1.14113,1.14102,1.14108,327,0,0
2026-07-22 22:40:00,1.14108,1.14115,1.14106,1.14111,434,0,0
2026-07-22 22:45:00,1.14112,1.14123,1.14106,1.14109,377,0,0
2026-07-22 22:50:00,1.14109,1.14112,1.14099,1.14103,440,0,0
2026-07-22 22:55:00,1.14103,1.14117,1.14092,1.14114,1042,0,0
2026-07-22 23:00:00,1.14114,1.14128,1.14105,1.14109,1133,0,0
2026-07-22 23:05:00,1.14108,1.14127,1.14105,1.14121,461,0,0
2026-07-22 23:10:00,1.14121,1.1412499999999999,1.14115,1.14116,282,0,0
2026-07-22 23:15:00,1.14116,1.14121,1.14114,1.14118,244,0,0
2026-07-22 23:20:00,1.14119,1.14127,1.14115,1.14118,296,0,0
2026-07-22 23:25:00,1.14117,1.14124,1.14114,1.14115,254,0,0
2026-07-22 23:30:00,1.14115,1.14121,1.14107,1.1411,322,0,0
2026-07-22 23:35:00,1.14111,1.1412200000000001,1.14107,1.14118,322,0,0
2026-07-22 23:40:00,1.14118,1.14126,1.14117,1.1412200000000001,301,0,0
2026-07-22 23:45:00,1.1412200000000001,1.14126,1.14112,1.14114,317,0,0
2026-07-22 23:50:00,1.14114,1.14123,1.14113,1.14119,443,0,0
2026-07-22 23:55:00,1.14119,1.14126,1.14115,1.14117,430,0,0
2026-07-23 00:00:00,1.14108,1.14108,1.14036,1.14106,20,0,0
2026-07-23 00:05:00,1.14106,1.14106,1.14082,1.14099,72,0,0
2026-07-23 00:10:00,1.14102,1.14104,1.14099,1.14103,36,0,0
2026-07-23 00:15:00,1.14103,1.14105,1.14073,1.14073,68,0,0
2026-07-23 00:20:00,1.14073,1.14097,1.14073,1.14089,37,0,0
2026-07-23 00:25:00,1.14089,1.1409,1.14079,1.14086,39,0,0
2026-07-23 00:30:00,1.14086,1.1409799999999999,1.14082,1.14082,29,0,0
2026-07-23 00:35:00,1.14082,1.14086,1.14074,1.14079,29,0,0
2026-07-23 00:40:00,1.14079,1.14079,1.14072,1.14072,52,0,0
2026-07-23 00:45:00,1.14072,1.14083,1.14069,1.14078,30,0,0
2026-07-23 00:50:00,1.14078,1.1409,1.14077,1.14083,78,0,0
2026-07-23 00:55:00,1.14083,1.1408800000000001,1.14077,1.14087,107,0,0
2026-07-23 01:00:00,1.14087,1.14095,1.14074,1.14082,449,0,0
2026-07-23 01:05:00,1.14082,1.14093,1.1408,1.14081,297,0,0
2026-07-23 01:10:00,1.14081,1.14081,1.14071,1.14079,192,0,0
2026-07-23 01:15:00,1.1408,1.14084,1.14072,1.14075,219,0,0
2026-07-23 01:20:00,1.14075,1.14081,1.14074,1.14078,244,0,0
2026-07-23 01:25:00,1.14078,1.14082,1.14074,1.14079,327,0,0
2026-07-23 01:30:00,1.14079,1.14083,1.14075,1.14076,408,0,0
2026-07-23 01:35:00,1.14076,1.14079,1.14067,1.14068,247,0,0
2026-07-23 01:40:00,1.14068,1.14071,1.14059,1.1406399999999999,343,0,0
2026-07-23 01:45:00,1.1406399999999999,1.14069,1.1406,1.14068,281,0,0
2026-07-23 01:50:00,1.14068,1.14082,1.1406399999999999,1.14078,323,0,0
2026-07-23 01:55:00,1.14079,1.14084,1.14074,1.14081,370,0,0
2026-07-23 02:00:00,1.14081,1.14093,1.14081,1.14089,257,0,0
2026-07-23 02:05:00,1.14089,1.14091,1.14084,1.14085,165,0,0
2026-07-23 02:10:00,1.14085,1.14099,1.14082,1.14094,255,0,0
2026-07-23 02:15:00,1.14094,1.14104,1.1408800000000001,1.141,264,0,0
2026-07-23 02:20:00,1.141,1.14105,1.14096,1.14096,118,0,0
2026-07-23 02:25:00,1.14096,1.14103,1.14095,1.14101,155,0,0
2026-07-23 02:30:00,1.14101,1.14109,1.14099,1.14104,135,0,0
2026-07-23 02:35:00,1.14104,1.14107,1.14101,1.14103,95,0,0
2026-07-23 02:40:00,1.14103,1.14114,1.14097,1.14109,243,0,0
2026-07-23 02:45:00,1.14109,1.14115,1.141,1.14109,377,0,0
2026-07-23 02:50:00,1.14109,1.1411,1.14103,1.14106,314,0,0
2026-07-23 02:55:00,1.14106,1.14119,1.14105,1.14114,595,0,0
2026-07-23 03:00:00,1.14114,1.14138,1.14114,1.14133,1027,0,0
2026-07-23 03:05:00,1.14133,1.14134,1.14123,1.14126,549,0,0
2026-07-23 03:10:00,1.14126,1.14128,1.14111,1.14113,404,0,0
2026-07-23 03:15:00,1.14113,1.1412,1.14105,1.14112,481,0,0
2026-07-23 03:20:00,1.14112,1.14138,1.14109,1.14138,572,0,0
2026-07-23 03:25:00,1.14138,1.14142,1.14117,1.14119,542,0,0
2026-07-23 03:30:00,1.14119,1.14128,1.14118,1.1412499999999999,439,0,0
2026-07-23 03:35:00,1.1412499999999999,1.14134,1.14123,1.14129,412,0,0
2026-07-23 03:40:00,1.14129,1.1414,1.1412499999999999,1.14135,434,0,0
2026-07-23 03:45:00,1.14134,1.14145,1.14121,1.14126,568,0,0
2026-07-23 03:50:00,1.14126,1.14146,1.14117,1.14144,627,0,0
2026-07-23 03:55:00,1.14144,1.14177,1.14136,1.14174,604,0,0
2026-07-23 04:00:00,1.14174,1.14205,1.14174,1.14176,942,0,0
2026-07-23 04:05:00,1.14176,1.14189,1.1417,1.14185,547,0,0
2026-07-23 04:10:00,1.14185,1.14189,1.14171,1.14174,577,0,0
2026-07-23 04:15:00,1.14174,1.1418300000000001,1.14166,1.14175,756,0,0
2026-07-23 04:20:00,1.14175,1.14186,1.14167,1.14177,501,0,0
2026-07-23 04:25:00,1.14177,1.14189,1.14173,1.14175,318,0,0
2026-07-23 04:30:00,1.14175,1.14201,1.14173,1.14199,1161,0,0
2026-07-23 04:35:00,1.14199,1.14204,1.14173,1.14177,909,0,0
2026-07-23 04:40:00,1.14177,1.14202,1.14169,1.14175,841,0,0
2026-07-23 04:45:00,1.14175,1.14179,1.1416,1.14171,810,0,0
2026-07-23 04:50:00,1.14171,1.14181,1.14161,1.14174,828,0,0
2026-07-23 04:55:00,1.14174,1.14177,1.1416,1.14165,808,0,0
2026-07-23 05:00:00,1.14165,1.1418,1.14161,1.14179,692,0,0
2026-07-23 05:05:00,1.14178,1.14189,1.14169,1.14182,538,0,0
2026-07-23 05:10:00,1.14182,1.14188,1.14173,1.14182,417,0,0
2026-07-23 05:15:00,1.1418300000000001,1.14189,1.14178,1.14186,618,0,0
2026-07-23 05:20:00,1.14186,1.14206,1.14184,1.14203,441,0,0
2026-07-23 05:25:00,1.14203,1.14205,1.14195,1.14204,355,0,0
2026-07-23 05:30:00,1.14204,1.14241,1.14203,1.14233,727,0,0
2026-07-23 05:35:00,1.14233,1.14249,1.1423,1.14242,530,0,0
2026-07-23 05:40:00,1.14242,1.14262,1.1424,1.14255,421,0,0
2026-07-23 05:45:00,1.14255,1.14278,1.14254,1.14263,532,0,0
2026-07-23 05:50:00,1.14262,1.14269,1.14257,1.14266,464,0,0
2026-07-23 05:55:00,1.14266,1.14284,1.14263,1.14275,425,0,0
2026-07-23 06:00:00,1.14275,1.14294,1.14265,1.14265,641,0,0
2026-07-23 06:05:00,1.14265,1.1427,1.14256,1.14269,537,0,0
2026-07-23 06:10:00,1.14269,1.1427100000000001,1.14235,1.14235,568,0,0
2026-07-23 06:15:00,1.14235,1.1427,1.14232,1.1427,686,0,0
2026-07-23 06:20:00,1.1427,1.14283,1.14265,1.14283,521,0,0
2026-07-23 06:25:00,1.14283,1.1429,1.14274,1.14288,425,0,0
2026-07-23 06:30:00,1.14287,1.14297,1.14277,1.14294,492,0,0
2026-07-23 06:35:00,1.14294,1.14301,1.14289,1.14297,420,0,0
2026-07-23 06:40:00,1.14297,1.14302,1.14293,1.14298,579,0,0
2026-07-23 06:45:00,1.14298,1.14307,1.14286,1.14299,697,0,0
