trade_id,entry_time,exit_time,symbol,type,entry_price,exit_price,stop_loss,take_profit,pnl,win,reason,balance_after
1,2026-06-30 04:10:00,2026-06-30 04:15:00,XAUUSD,BUY,3958.08,3970.59,3959.14,3981.76,0.2,True,Trailing SL Hit,100.2
2,2026-07-02 15:30:00,2026-07-02 16:30:00,XAUUSD,SELL,4127.36,4127.78,4125.97,4104.26,0.2,True,Trailing SL Hit,100.4
3,2026-07-10 02:50:00,2026-07-10 03:25:00,XAUUSD,SELL,4123.07,4119.48,4122.83,4118.59,1.67,True,Take Profit Hit (TP),102.07
4,2026-07-14 15:30:00,2026-07-14 15:50:00,XAUUSD,SELL,4095.46,4073.35,4094.27,4072.65,1.67,True,Take Profit Hit (TP),103.73
5,2026-08-04 02:55:00,2026-08-04 03:00:00,XAUUSD,SELL,4053.84,4059.66,4056.83,4048.85,-1.0,False,Stop Loss Hit (SL),102.73
